Team,TeamDefRtg
George Mason Patriots,85.8
Massachusetts Minutewomen,86.5
Rhode Island Rams,87.7
Saint Joseph's Hawks,88.0
Virginia Commonwealth Rams,88.2
Richmond Spiders,88.4
Davidson Wildcats,89.1
Fordham Rams,89.6
Dayton Flyers,89.6
Duquesne Dukes,90.3
George Washington Revolutionaries,
La Salle Explorers,97.1
Loyola (Chicago) Ramblers,97.2
Saint Louis Billikens,99.7
St. Bonaventure Bonnies,103.7
Texas-(San Antonio) Roadrunners,84.4
North Texas Mean Green,85.3
East Carolina Pirats,87.1
Tulane Green Wave,87.5
Temple Owls,87.7
Tusla Golden Hurricane,88.4
Rice Owls,89.9
South FLorida Bulls,91.0
FLorida Atlantic,94.0
Wichita State Shockers,94.1
UAB Blazers,94.9
Charlotte 49ers,97.7
Memphis Tigers,105.0
Harvard Crimson,80.7
Columbia Lions,88.1
Princeton Tigers,89.3
Pennsylvania Quakers,94.1
Cornell Big Red,95.4
Brown Bears,96.5
Dartmouth Big Green,99.7
Yale Bulldogs,103.8
Missouri State Lady Bears,89.8
Belmont Bruins,91.2
Bradley Braves,91.3
Murray State Racers,95.2
Illinois-Chicago Flames,95.4
Drake Bulldogs,97.1
Northern Iowa Panthers,97.9
Valparaiso University,98.0
Illinois State Redbirds,98.5
Evansville Aces,102.0
Indiana State Sycamores,105.2
Southern Illinois Salukis,109.7
UNLV Rebels,91.1
San Diego State Aztecs,91.6
Wyoming Cowgirls,91.7
Air Force Falcons,93.9
Colorado State Rams,94.5
New Mexico Lobos,95.8
Boise State Broncos,97.1
Fresno State Bulldogs,99.8
Nevada Wolf Pack,100.2
San Jose State Spartans,103.9
Utah State Aggies,105.4
Saint Mary's Gaels,94.9
Loyola Marymount Lions,99.5
Portland Pilots,90.5
Pacific Tigers,92.7
Santa Clara Broncos,99.3
Pepperdine Waves,98.9
Gonzaga Bulldogs,95.9
San Diego Toreros,99.8
San Francisco Dons,92.6
Oregon State Beavers,93.7
Washington State Cougars,95.3
