player1,player2,minutes,pts_for,pts_against,o_poss,d_poss,plus_minus,off_rtg,def_rtg,net_rtg,PM_p40,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg
AM,MH,180.093,340,316,304.148,302.51599999999996,24,111.78768231255836,104.45728490393897,7.33039740861939,5.330579200746281,3.8639223117922072,2.7496401511820494,-1.6172359560466845,4.366876107228734
AM,CH,163.842,286,296,265.325,271.178,-10,107.79233016112315,109.15339739949405,-1.3610672383709073,-2.4413764480414057,-3.9080333369954796,-1.2457120002531639,3.0788765395084,-4.324588539761564
JL,AM,148.092,301,279,249.153,243.936,22,120.80930191488764,114.37426210153482,6.435039813352816,5.942252113551035,4.475595224596962,11.77125975351133,8.299741241549171,3.4715185119621594
JL,MH,140.742,291,272,243.898,240.286,19,119.31217148152096,113.19843852742149,6.113732954099476,5.399951684642822,3.9332947956887483,10.274129320144652,7.123917667435833,3.150211652708819
MH,CH,140.461,255,257,232.15,236.938,-2,109.84277406849019,108.46719394947202,1.3755801190181671,-0.5695531143876236,-2.036210003341697,0.8047319071138759,2.3926730894863653,-1.5879411823724894
AM,IK,135.277,230,222,214.393,217.561,8,107.27962200258403,102.0403473048938,5.2392746976902345,2.3655166805887182,0.8988597916346444,-1.7584201587922763,-4.034173555091854,2.275753396299578
JL,CH,131.977,248,248,217.79500000000002,219.678,0,113.86854610987396,112.8925063046823,0.976039805191661,0.0,-1.4666568889540739,4.83050394849765,6.817985444696646,-1.9874814961989955
IK,MH,129.103,244,226,216.998,214.301,18,112.44343265836551,105.45914391440078,6.984288743964726,5.576942441306553,4.1102855523524795,3.405390496989199,-0.6153769455848703,4.020767442574069
AM,PR,115.747,207,184,189.035,187.188,23,109.50353109212581,98.2968993738915,11.206631718234306,7.948370152142172,6.481713263188098,0.46548893074950115,-7.777621486094148,8.243110416843649
JL,IK,115.67099999999999,227,210,191.233,189.326,17,118.70336186746012,110.91978914676272,7.783572720697393,5.87874229495725,4.412085406003175,9.665319706083807,4.84526828677707,4.820051419306736
IK,CH,114.223,181,184,178.785,185.525,-3,101.23891825376849,99.17800835466917,2.0609098990993147,-1.0505765038564912,-2.517233392810565,-7.799123907607822,-6.89651250531648,-0.9026114022913418
AM,AC,109.567,193,177,184.197,181.92,16,104.77912235269847,97.29551451187336,7.483607840825101,5.841174806282914,4.3745179173288395,-4.258919808677845,-8.77900634811229,4.520086539434445
AC,MH,97.91,174,169,172.45,170.26,5,100.89881124963757,99.25995536238695,1.638855887250628,2.042692268409764,0.57603537945569,-8.139230911738736,-6.814565497598707,-1.3246654141400285
AC,CH,97.281,167,182,162.76,163.323,-15,102.60506266896043,111.43562143727459,-8.830558768314162,-6.1676997563758595,-7.634356645329934,-6.432979492415882,5.361100577288937,-11.794080069704819
AM,ZO,92.118,153,162,145.287,155.975,-9,105.30880257696833,103.86279852540471,1.4460040515636194,-3.9080310037126296,-5.374687892666703,-3.7292395844079778,-2.2117223345809407,-1.517517249827037
ZO,MH,82.197,146,147,140.73,148.325,-1,103.74475946848575,99.10669138715659,4.638068081329166,-0.4866357652955704,-1.9532926542496443,-5.293282692890557,-6.967829472829067,1.6745467799385096
AC,ZO,75.64099999999999,134,128,121.617,124.615,6,110.18196469243608,102.71636640853829,7.465598283897791,3.1728824314855704,1.7062255425314965,1.143922531059772,-3.358154451447362,4.502076982507134
AC,PR,75.322,139,117,126.037,122.697,22,110.28507501765354,95.35685469082374,14.928220326829802,11.683173574785586,10.216516685831513,1.2470328562772295,-10.717666169161916,11.964699025439145
MH,PR,73.834,151,126,136.838,128.358,25,110.34946433008375,98.16295049782639,12.186513832257361,13.543895766178183,12.07723887722411,1.3114221687074377,-7.911570362159267,9.222992530866705
IK,PR,72.035,131,131,122.288,120.666,0,107.12416590344107,108.56413571345698,-1.43996981001591,0.0,-1.4666568889540739,-1.913876257935243,2.4896148534713234,-4.4034911114065665
ZO,CH,70.898,121,149,113.47,123.8,-28,106.63611527275931,120.35541195476576,-13.719296682006444,-15.797342661288049,-17.263999550242122,-2.401926888616998,14.280891094780102,-16.6828179833971
JL,AC,70.07000000000001,141,142,124.64,119.42,-1,113.12580231065468,118.90805560207671,-5.7822532914220375,-0.5708577137148565,-2.0375146026689306,4.087760149278367,12.83353474209106,-8.745774592812694
ZO,PR,66.439,108,101,108.777,106.545,7,99.28569458617172,94.79562626120418,4.490068324967538,4.214392149189482,2.7477352602354084,-9.752347575204595,-11.278894598781477,1.5265470235768817
JL,PR,62.377,133,129,110.228,103.02799999999999,4,120.65899771382954,125.20868113522539,-4.549683421395855,2.5650480144925214,1.0983911255384475,11.620955552453225,19.134160275239736,-7.5132047227865115
AC,IK,49.346000000000004,71,83,83.03,81.905,-12,85.5112609900036,101.33691471827117,-15.825653728267568,-9.727232197138571,-11.193889086092645,-23.526781171372704,-4.73760614171448,-18.789175029658225
IK,ZO,45.205,67,71,73.77,76.49,-4,90.82282770774029,92.82259118839065,-1.9997634806503584,-3.539431478818715,-5.006088367772788,-18.215214453636023,-13.251929671595008,-4.963284782041015
AM,KJ,43.488,72,66,63.372,67.91,6,113.61484567316795,97.18745398321308,16.427391689954874,5.518763796909492,4.052106907955418,4.576803511791638,-8.887066876772579,13.463870388564217
AC,KJ,42.327,73,73,64.287,66.18,0,113.55328448986575,110.30522816560892,3.2480563242568223,0.0,-1.4666568889540739,4.515242328489435,4.23070730562327,0.28453502286616583
KJ,PR,33.024,53,46,45.447,47.980000000000004,7,116.61935881356304,95.87328053355564,20.746078280007396,8.478682170542635,7.012025281588562,7.581316652186729,-10.20124032643001,17.78255697861674
PR,CH,31.672,46,56,50.05,49.37,-10,91.90809190809192,113.42920802106542,-21.521116112973502,-12.62945188178833,-14.096108770742404,-17.12995025328439,7.354687161079767,-24.48463741436416
IK,KJ,31.032,40,45,44.155,47.79,-5,90.5899671611369,94.16195856873824,-3.5719914076013453,-6.444960041247744,-7.911616930201818,-18.448075000239413,-11.912562291247411,-6.535512708992002
JL,KJ,30.403,56,57,46.865,48.46,-1,119.49215832710978,117.62278167560876,1.869376651501014,-1.3156596388514292,-2.782316527805503,10.454116165733467,11.54826081562311,-1.0941446498896426
KJ,CH,28.456,47,49,44.545,46.26,-2,105.51128072735436,105.92304366623434,-0.41176293887997417,-2.81135788585887,-4.278014774812943,-3.5267614340219495,-0.15147719375131885,-3.3752842402706307
JL,ZO,27.682,51,65,47.96,52.97,-14,106.33861551292745,122.71096847272041,-16.372352959792963,-20.229752185535727,-21.6964090744898,-2.6994266484488634,16.636447612734756,-19.33587426118362
ZO,KJ,27.522,41,36,37.517,39.38,5,109.28379134792227,91.4169629253428,17.866828422579474,7.266913741733886,5.800256852779812,0.24574918654596445,-14.657557934642853,14.903307121188817
